token_lower,count
republican,2
geometric,2
efficient,2
edwardian,2
ski-ing,2
democratic,2
sk-02,2
delightful,2
sketched,2
hamish,2
presbyterian,2
skilful,2
den,2
defective,2
1967-1985,2
skin,2
decayed,2
debating,2
slides,2
demountable,2
departmental,2
geotechnical,2
1853-1942,2
developmental,2
prime,2
"""'original""",2
1965-1980,2
sirkka-liisa,2
1966-1971,2
desirable,2
"""'old""",2
prevalent,2
describes,2
six-part,2
prevailing,2
deputy,2
hairstyle,2
dearest,2
prefect,2
slogan,2
cross-arts,2
bath-night,2
cumbrian,2
heavenly,2
1841-1911,2
crucial,2
crown,2
solid,2
hard-won,2
pre-existing,2
"""'natural""",2
1971-1976,2
00-02,2
hi-tech,2
powerful,2
curly,2
1970-1984,2
1843-1902,2
healthcare-associated,2
cycloramic,2
cynic,2
pre-school,2
pre-stage,2
d,2
head,2
smoked,2
have,2
pre-war,2
dark-colored,2
precarious,2
predatory,2
predominant,2
"""'our""",2
simon,2
print,2
dynastic,2
1958-59,2
self-assessment,2
glandular,2
1960-1961,2
selling,2
e-bulletin,2
protected,2
graduate,2
proprietary,2
"""'quartier""",2
proportional,2
"""'proposed""",2
seperate,2
government-funded,2
select,2
east-west,2
give,2
eating,2
psychiatric,2
sectional,2
1956-1961,2
secretarial,2
1956-1957,2
ed,2
edgy,2
1955-2005,2
giant,2
1955-1956,2
pub,2
seaweed,2
1954-1956,2
serbian,2
grammar,2
diesel,2
disarmament,2
disordered,2
1855-1998,2
discs,2
grotesque,2
disciplinary,2
discarded,2
sic,2
drafts,2
disabled,2
ground-floor,2
siege,2
1965-1966,2
1855-1921,2
diet,2
"""'post-modern""",2
dissected,2
shopfront,2
disused,2
programming,2
sheep,2
project-end,2
projected,2
prolific,2
1962-1964,2
graph,2
"""'preliminary""",2
"""'press""",2
seventh,2
seven-year,2
prompt,2
grampian,2
trainee,2
1914-1922,2
one-hour,2
learnt,2
wall,2
optical,2
unwounded,2
numerical,2
anti-corn,2
35-38,2
uncontrollable,2
anti-russian,2
6-12,2
6-17,2
willis-fear,2
orchestra,2
"""'fetish""",2
anticipated,2
antimicrobial,2
2005-2010,2
34-36,2
widowed,2
2004-2013,2
undelivered,2
maternal,2
warrant,2
1583-1632,2
neoplastic,2
warm,2
nurse,2
ward,2
mid-,2
unwanted,2
"""'document""",2
war-ravaged,2
2000-2007,2
2000-2006,2
under-secretary,2
36-46,2
6-10,2
36-41,2
antiquary,2
anxious,2
16-17,2
apd,2
62-78,2
2006-2016,2
archaeologist,2
1787-1861,2
"""'bad""",2
2-level,2
mineral,2
late-nineteenth,2
longman,2
architecture,2
un-numbered,2
nazi,2
archived,2
arctic,2
1654-1720,2
1995-2013,2
us-backed,2
arboricultural,2
organised,2
arab,2
noble,2
wine,2
apparent,2
appeal,2
appendix,2
1666-1723,2
wireless,2
unavailable,2
unauthorised,2
30th,2
adapted,2
20-21,2
le,2
longest,2
2006-2010,2
martial,2
126-127,2
mice,2
wholly-owned,2
3rd-5th,2
lettable,2
alignment,2
unsuitable,2
affordable,2
2013-2015,2
44-53,2
44-47,2
2003-2009,2
allotment,2
2003-2011,2
lightweight,2
alone,2
42-53,2
light-colored,2
1560-1624,2
oldest,2
1767-1845,2
2001-2008,2
2002-2007,2
4th,2
unsuccesful,2
